"Transaction Approved","Transacción Aprobada"
"Transaction Rejected","Transacción Rechazada"
"Transaction Failed","Transacción Fallida"
"Transaction Pending","Transacción Pendiente"
"Status","Estado"
"Reference","Referencia"
"Transaction Date","Fecha y hora"
"Payment Description","Descripción del pago"
"PlacetoPay Payment - %s","Pago en PlacetoPay - %s"
"Response Code","Código motivo"
"Reason","Motivo"
"Franchise Code","Código franquicia"
"Franchise","Franquicia"
"Bank Name","Banco"
"Credit Card","Tarjeta Nro."
"Authorization/UFC","Autorización/CUS"
"Receipt","Recibo"
"IP Address","Dirección IP"
"Conversion Factor","Tasa de cambio"
"Payer Name","Nombre del pagador"
"Payer Email","Email del pagador"
"EXPIRED","Vencida"
"REJECTED","Rechazada"
"DECLINED","Declinada"
"CANCELED","Cancelada"
"ERROR","Fallida"
"FAILED","Fallida"
"APPROVED","Aprobada"
"UNKNOWN","Pendiente"
"Pending payment","Pendiente pago"
"Pending Payment","Pago pendiente"
"PlacetoPay - Credit cards and debits account","PlacetoPay - Tarjetas de crédito y débitos a cuenta"
"Title","Título"
"Enabled","Habilitado"
"Yes","Sí"
"No","No"
"N/A","N/D"
"New Order Status","Estado nuevo pedido"
"Company Name","Razón social"
"Merchant ID","NIT"
"Payment description","Descripción para el pago"
"Customer Site ID","Identificador de sitio"
"GPG Executable Path","Ruta del ejecutable GPG"
"Keyring Home Directory","Ruta del anillo de llaves"
"GnuPG Merchant Key","Llave GnuPG del comercio"
"Merchant Passphrase","Contraseña de la llave"
"GnuPG PlacetoPay Key","Llave GnuPG de PlacetoPay"
"Identification issued by PlacetoPay to the merchant","Identificacion otorgada por PlacetoPay al comercio"
"Full path to the GnuPG executable file","Ruta completa con el archivo ejecutable del GnuPG"
"Directory where the keyring is founded","Directorio en donde se encuentra el anillo de llaves"
"Missing GPG Path or Keyring","No hay ruta al GPG o anillo"
"Key ID created by the merchant to connect with PlacetoPay","Identificador de la llave creada por el comercio para conectarse con PlacetoPay"
"Password used at the time of the creation of the key","Clave usada en el momento de la creación de la llave"
"PlacetoPay Key ID","Identificador de la llave de PlacetoPay"
"You will be redirected to the PlacetoPay secure payment page when you place an order.","Usted será redireccionado al sitio seguro de PlacetoPay cuando confirme la orden."
"My account / My orders","Mi cuenta / Mis pedidos"
"You will be redirected to PlacetoPay secure site in a few seconds.","Usted será redirigido al sitio seguro de PlacetoPay en unos segundos."
"Warning!","¡Atención!"
"Questions?","¿Inquietudes?"
"You have orders in process with payment transaction pending from get a bank response.<br/>We recommend you to review the section %s, to verify that a double payment not be charged.<br/>If you wish more information about the current status of your payment process please contact us in our support phone %s or send your questions to the email %s.","Usted tiene órdenes en proceso, cuya transacción se encuentra pendiente de recibir confirmación por parte de su entidad financiera.<br/>Le recomendamos que revise la sección %s, para verificar que no se genere un pago doble.<br/>Si desea mayor información sobre el estado actual de su proceso de pago puede comunicarse a nuestras líneas de atención al cliente %s o enviar sus inquietudes al correo electrónico %s."
"At this time your order #%s display a checkout transaction which is pending receipt of confirmation from your financial institution, please wait a few minutes and check back later to see if your payment was successfully confirmed. For more information about the current state of your operation you may contact our customer service line at %s or send your concerns to the email %s and ask for the status of the transaction: '%s'.","En este momento su pedido #%s presenta un proceso de pago cuya transacción se encuentra PENDIENTE de recibir confirmación por parte de su entidad financiera, por favor espere unos minutos y vuelva a consultar mas tarde para verificar si su pago fue confirmado de forma exitosa. Si desea mayor información sobre el estado actual de su operación puede comunicarse a nuestras líneas de atención al cliente %s o enviar un correo electronico a %s y preguntar por el estado de la transacción: '%s'."
"If you wish more information please contact us in our support phone %s or send your questions to the email %s.","Si desea mayor información sobre el estado actual de su operación puede comunicarse a nuestras líneas de atención al cliente %s o enviar un correo electronico a %s y preguntar por el estado de la transacción: '%s'."
"Meanwhile you have pending transactions is not advised to proceed.","Mientras tenga órdenes en proceso se recomienda que no proceda."
"Looking for Place to Pay&reg;? We have our own tab to the left under Sales.","¿Buscando por PlacetoPay? Tenemos nuestra propia pestaña a la izquierda bajo Ventas."
"View Place to Pay&reg; config tab.","Ver la pestaña de configuración de Place to Pay&reg;."
"Merchant Parameters","Parámetros del comercio"
"GPG Security Parameters","Parámetros de la seguridad GPG"
"Website Payments Standard Settings","Configuración Pagos Web"
"It is recommended to set this value per store views.","Se recomienda establecer este valor a nivel de cada vista de tienda."
"Website Payments Promotion Settings","Configuración Pagos Web Promociones"
"Display logo","Logos a mostrar"
"Final page","Página final"
"Choose the logos to be displayed under the PlacetoPay logo in payment method selection","Seleccione los logos a ser presentados bajo el logo de PlacetoPay en la selección del método de pago"
"Hours promotion","Horas de promoción"
"Choose the hours that the average payment will be active when associated with a promotion","Seleccione las horas en que el medio de pago será activo cuando está asociado a una promoción"
"The customer was redirected to PlacetoPay.","El cliente fue redirigido a PlacetoPay."
"Ship To","Enviar a"
"Please use letters only (a-z or A-Z) in %s.","Por favor use sólo letras (a-z ó A-Z) en %s."
"last name","apellido"
"first name","nombre"
"Enable CIFIN Message","Habilitar mensaje TransUnion"
"<small>Any person who realizes a purchase in the site <b>%s</b>, acting freely and voluntarily, authorizes to <b>%s</b>, through the service provider <b>EGM Ingeniería Sin Fronteras S.A.S</b> y/o <b>Place to Pay</b> to consult and request information from credit, financial, commercial performance and services to third parties, even in countries of the same nature in the central risk, generating a footprint consultation.</small>","<small>Cualquier persona que realice un compra en el sitio <b>%s</b>, actuando libre y voluntariamente, autoriza a <b>%s</b>, a través del proveedor del servicio <b>EGM Ingeniería Sin Fronteras S.A.S</b> y/o <b>Place to Pay</b> para que consulte y solicite información del comportamiento crediticio, financiero, comercial y de servicios a terceros, incluso en países de la misma naturaleza en las centrales de riesgo, generándose una huella de consulta.</small>"
"merchantname","Razón social"
"merchantdocument","NIT"
"description","Descripción del pago"
"order_not_in_session","La orden no se encuentra en su sesión"
"transaction_approved","Transacción aprobada"
"transaction_rejected","Transacción declinada"
"transaction_pending","Transacción pendiente"
"redirection_link","Detalle Pago"
"env_production","Producción"
"env_testing","Pruebas"
"env_development","Desarrollo"
"request_id","Petición"
"request_date","Fecha"
"request_status","Estado"
"request_view","Enlace"
